,Longitude,Latitude,Speed,CellID,NetworkMode,RSRP,RSRQ,SNR,CQI,RSSI,DL_bitrate,UL_bitrate,State,CELLHEX,NODEHEX,LACHEX,RAWCELLID,NRxRSRP,NRxRSRQ
0,-8.388186,51.935604,0,12,5G pro,-99,-15.0,6.0,12.0,-90.0,7,1,D,C,A81B,9CBA,11016972,-100.0,-15.0
1,-8.38847,51.935739,1,12,5G pro,-99,-15.0,6.0,12.0,-90.0,7,1,D,C,A81B,9CBA,11016972,-100.0,-15.0
2,-8.38847,51.935739,1,12,5G pro,-99,-15.0,6.0,12.0,-90.0,0,0,D,C,A81B,9CBA,11016972,-100.0,-15.0
3,-8.38847,51.935739,1,12,5G pro,-102,-14.0,6.0,12.0,-90.0,0,0,D,C,A81B,9CBA,11016972,-99.0,-15.0
4,-8.38847,51.935739,1,12,5G pro,-102,-14.0,6.0,12.0,-90.0,9,12,D,C,A81B,9CBA,11016972,-99.0,-15.0
5,-8.38847,51.935739,1,12,5G pro,-102,-14.0,4.0,12.0,-90.0,0,0,D,C,A81B,9CBA,11016972,-99.0,-14.0
6,-8.38847,51.935739,1,12,5G pro,-102,-14.0,4.0,12.0,-90.0,0,0,I,C,A81B,9CBA,11016972,-99.0,-14.0
7,-8.38847,51.935739,1,12,5G pro,-102,-13.0,4.0,12.0,-90.0,0,0,I,C,A81B,9CBA,11016972,-98.0,-15.0
8,-8.38847,51.935739,1,12,5G pro,-102,-13.0,4.0,12.0,-90.0,0,0,D,C,A81B,9CBA,11016972,-98.0,-15.0
9,-8.38847,51.935739,1,12,5G pro,-102,-13.0,4.0,15.0,-92.0,0,0,D,C,A81B,9CBA,11016972,-98.0,-15.0
10,-8.38847,51.935739,1,12,5G pro,-103,-15.0,-6.0,10.0,-90.0,149,15,D,C,A81B,9CBA,11016972,-99.0,-13.0
11,-8.38847,51.935739,1,12,5G pro,-103,-15.0,-6.0,9.0,,14316,227,D,C,A81B,9CBA,11016972,-99.0,-13.0
12,-8.38847,51.935739,1,12,5G pro,-102,-12.0,6.0,9.0,,10620,99,D,C,A81B,9CBA,11016972,-97.0,-13.0
13,-8.38847,51.935739,1,12,5G pro,-102,-12.0,6.0,9.0,,16739,119,D,C,A81B,9CBA,11016972,-97.0,-13.0
14,-8.38847,51.935739,1,12,5G pro,-101,-11.0,7.0,14.0,,18803,167,D,C,A81B,9CBA,11016972,-99.0,-13.0
15,-8.38847,51.935739,1,12,5G pro,-101,-11.0,7.0,14.0,,8023,107,D,C,A81B,9CBA,11016972,-99.0,-13.0
16,-8.38847,51.935739,1,12,5G pro,-100,-10.0,5.0,14.0,,7399,92,D,C,A81B,9CBA,11016972,-97.0,-16.0
17,-8.38847,51.935739,1,12,5G pro,-100,-10.0,5.0,13.0,-86.0,10045,80,D,C,A81B,9CBA,11016972,-97.0,-16.0
18,-8.38847,51.935739,1,12,5G pro,-101,-11.0,2.0,12.0,-89.0,12042,94,D,C,A81B,9CBA,11016972,-98.0,-17.0
19,-8.38847,51.935739,1,12,5G pro,-101,-11.0,2.0,12.0,-91.0,12772,100,D,C,A81B,9CBA,11016972,-98.0,-17.0
20,-8.38847,51.935739,1,12,5G pro,-99,-14.0,7.0,12.0,-91.0,16067,135,D,C,A81B,9CBA,11016972,-104.0,-13.0
21,-8.38847,51.935739,1,12,5G pro,-99,-14.0,7.0,12.0,-91.0,5862,57,D,C,A81B,9CBA,11016972,-104.0,-13.0
22,-8.38847,51.935739,1,12,5G pro,-98,-12.0,12.0,8.0,-88.0,2,3,D,C,A81B,9CBA,11016972,-97.0,-16.0
23,-8.38847,51.935739,1,12,5G pro,-98,-12.0,12.0,8.0,-88.0,2,3,D,C,A81B,9CBA,11016972,-97.0,-16.0
24,-8.38847,51.935739,1,12,5G pro,-98,-12.0,12.0,12.0,-92.0,39077,623,D,C,A81B,9CBA,11016972,-97.0,-16.0
25,-8.38847,51.935739,1,12,5G pro,-101,-10.0,5.0,12.0,-92.0,35611,180,D,C,A81B,9CBA,11016972,-107.0,-15.0
26,-8.38847,51.935739,1,12,5G pro,-101,-10.0,5.0,12.0,-92.0,22253,144,D,C,A81B,9CBA,11016972,-107.0,-15.0
27,-8.38847,51.935739,1,12,5G pro,-100,-14.0,8.0,12.0,-92.0,27177,154,D,C,A81B,9CBA,11016972,-103.0,-15.0
28,-8.38847,51.935739,1,12,5G pro,-100,-14.0,8.0,10.0,-88.0,23112,176,D,C,A81B,9CBA,11016972,-103.0,-15.0
29,-8.38847,51.935739,1,12,5G pro,-99,-11.0,11.0,5.0,-91.0,11630,118,D,C,A81B,9CBA,11016972,-102.0,-19.0
30,-8.38847,51.935739,1,12,5G pro,-99,-11.0,11.0,11.0,-88.0,9593,99,D,C,A81B,9CBA,11016972,-102.0,-19.0
31,-8.38847,51.935739,1,12,5G pro,-102,-10.0,6.0,11.0,-88.0,10681,99,D,C,A81B,9CBA,11016972,-102.0,-18.0
32,-8.38847,51.935739,1,12,5G pro,-102,-10.0,6.0,12.0,-91.0,16361,117,D,C,A81B,9CBA,11016972,-102.0,-18.0
33,-8.38847,51.935739,1,12,5G pro,-100,-9.0,7.0,12.0,-91.0,17851,145,D,C,A81B,9CBA,11016972,-101.0,-18.0
34,-8.38847,51.935739,1,12,5G pro,-100,-9.0,7.0,13.0,-86.0,18459,162,D,C,A81B,9CBA,11016972,-101.0,-18.0
35,-8.38847,51.935739,1,12,5G pro,-97,-8.0,20.0,14.0,-83.0,0,0,D,C,A81B,9CBA,11016972,-101.0,-8.0
36,-8.38847,51.935739,1,12,5G pro,-97,-8.0,20.0,14.0,-83.0,0,0,D,C,A81B,9CBA,11016972,-101.0,-8.0
37,-8.38847,51.935739,1,12,5G pro,-97,-8.0,20.0,15.0,-80.0,7654,187,D,C,A81B,9CBA,11016972,-101.0,-8.0
38,-8.38847,51.935739,1,12,5G pro,-93,-10.0,9.0,13.0,-82.0,7783,148,D,C,A81B,9CBA,11016972,-99.0,-9.0
39,-8.38847,51.935739,1,12,5G pro,-93,-10.0,9.0,13.0,-82.0,6516,75,D,C,A81B,9CBA,11016972,-99.0,-9.0
40,-8.38847,51.935739,1,12,5G pro,-92,-8.0,12.0,14.0,,9892,83,D,C,A81B,9CBA,11016972,-98.0,-7.0
